Pardavejo: KN-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1823834 rastas komplektas: A0008300720, kiekis 1 vnt. Saskaitos komplektiskumas: 0.666666666666667.
Kitos saskaitoje esancios detales:
Sakatoje AKU-1823763 rastas komplektas: A0055425818, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

Sakatoje AKU-1823719 rastas komplektas: 076.176-10A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
914160; A9463560201; 1; vnt.; 
952792; 567549; 1; vnt.; 
959403; A9403501035; 1; vnt.; 
959501; A0014006702; 1; vnt.; 
959512; 33022; 1; vnt.; 
959535; 35330; 1; vnt.; 
959546; A0014006702; 1; vnt.; 
959561; 7940; 1; vnt.; 
959566; 13506; 1; vnt.; 
959661; REST43026; 1; vnt.; 

Sakatoje AKU-1823217 rastas komplektas: 17176, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
483624; A6842950174; 1; vnt.; 
907763; 38557; 1; vnt.; Analogas detalei 22751
923549; N000000005461; 5; vnt.; Komplekto detale.
951075; 1470; 1; vnt.; 
951792; 94825; 4; vnt.; 
951817; A0259975047; 1; vnt.; Komplekto detale.
951844; KNIEDE; 1; vnt.; 
952107; 7480; 4; vnt.; 
952269; VARZIED; 2; vnt.; 
953055; N000000005461; 3; vnt.; Komplekto detale.
953085; VARZIED; 2; vnt.; 
953541; TEGL5FUCHS; 7; l.; 

Sakatoje AKU-1823488 rastas komplektas: 02-04-02-0151, kiekis 3 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
814633; 37922; 6; vnt.; 
827559; A5410500722; 1; vnt.; 
901897; 001AS19623000; 1; kompl.; 
919722; A0019937296; 1; vnt.; 
919855; 24976; 1; vnt.; 
925309; 30591; 1; vnt.; 
927244; A541201028064; 1; vnt.; 
930354; A5410140822; 1; vnt.; 
930813; 7719; 1; vnt.; 
932843; 5119; 6; vnt.; 
932844; 8507; 6; vnt.; 
932858; VARZIED; 6; vnt.; 
932878; A9060170860; 6; vnt.; 
932893; 26410; 1; vnt.; 
932914; 16665; 1; vnt.; 
933104; GUMZIED; 4; vnt.; 
933227; K015384N00; 1; vnt.; 
933257; 076.235-00A; 5; vnt.; 
933258; 076.244-00A; 1; vnt.; 
933276; 500062; 2; vnt.; 
934213; REST0029; 1; vnt.; 
937704; A5422010180; 1; vnt.; 
939749; 330076T; 1; vnt.; 
939750; 330072T; 2; vnt.; 
939751; 330087; 1; vnt.; 
939752; 13810001; 1; vnt.; 
939885; A5411840980; 1; vnt.; 
941048; A5410151380; 1; vnt.; 
941363; A0239976448; 1; vnt.; 
943440; A0018206945; 1; vnt.; 
943526; A4579900901; 3; vnt.; 
943531; A5410151680; 1; vnt.; 
943532; A5410151780; 1; vnt.; 
943534; A5411840980; 1; vnt.; 
944299; A5410110180; 1; vnt.; Komplekto detale.
944483; 001PL19619000; 6; vnt.; 
948037; A0239976548; 4; vnt.; 
953747; 001HS19621000; 1; kompl.; 
954690; A0139971447; 1; vnt.; 
954691; 45171; 1; vnt.; 
954693; 7720; 1; vnt.; 
954694; A0239976548; 2; vnt.; 
954695; A0239976448; 5; vnt.; 
954698; 70-31414-20; 1; vnt.; 
955148; 1470; 1; vnt.; 
955469; OX 168D ECO ; 1; vnt.; 
955601; VARZIED; 44; vnt.; 
955603; 235261; 18; vnt.; 
955732; 303305; 1; vnt.; 
956266; 303305; 1; vnt.; 
956380; A4579900901; 1; vnt.; 
957224; TEATF4000; 2; vnt.; 
957225; 80697; 1; vnt.; 
957306; TEATF4000; 1; vnt.; 

Sakatoje AKU-1823488 rastas komplektas: A0079901401, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
814633; 37922; 6; vnt.; 
827559; A5410500722; 1; vnt.; 
901897; 001AS19623000; 1; kompl.; 
919722; A0019937296; 1; vnt.; 
919855; 24976; 1; vnt.; 
925309; 30591; 1; vnt.; 
927244; A541201028064; 1; vnt.; 
930354; A5410140822; 1; vnt.; 
930813; 7719; 1; vnt.; 
932843; 5119; 6; vnt.; 
932844; 8507; 6; vnt.; 
932858; VARZIED; 6; vnt.; 
932878; A9060170860; 6; vnt.; 
932893; 26410; 1; vnt.; 
932914; 16665; 1; vnt.; 
933104; GUMZIED; 4; vnt.; 
933227; K015384N00; 1; vnt.; 
933257; 076.235-00A; 5; vnt.; 
933258; 076.244-00A; 1; vnt.; 
933276; 500062; 2; vnt.; 
934213; REST0029; 1; vnt.; 
937704; A5422010180; 1; vnt.; 
939749; 330076T; 1; vnt.; 
939750; 330072T; 2; vnt.; 
939751; 330087; 1; vnt.; 
939752; 13810001; 1; vnt.; 
939885; A5411840980; 1; vnt.; 
941048; A5410151380; 1; vnt.; 
941363; A0239976448; 1; vnt.; 
943440; A0018206945; 1; vnt.; 
943526; A4579900901; 3; vnt.; 
943531; A5410151680; 1; vnt.; 
943532; A5410151780; 1; vnt.; 
943534; A5411840980; 1; vnt.; 
944299; A5410110180; 1; vnt.; Komplekto detale.
944483; 001PL19619000; 6; vnt.; 
948037; A0239976548; 4; vnt.; 
953747; 001HS19621000; 1; kompl.; 
954690; A0139971447; 1; vnt.; 
954691; 45171; 1; vnt.; 
954693; 7720; 1; vnt.; 
954694; A0239976548; 2; vnt.; 
954695; A0239976448; 5; vnt.; 
954698; 70-31414-20; 1; vnt.; 
955148; 1470; 1; vnt.; 
955469; OX 168D ECO ; 1; vnt.; 
955601; VARZIED; 44; vnt.; 
955603; 235261; 18; vnt.; 
955732; 303305; 1; vnt.; 
956266; 303305; 1; vnt.; 
956380; A4579900901; 1; vnt.; 
957224; TEATF4000; 2; vnt.; 
957225; 80697; 1; vnt.; 
957306; TEATF4000; 1; vnt.; 

Sakatoje AKU-1823753 rastas komplektas: A0079901401, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
780216; 303305; 2; vnt.; 
787342; A0079901301; 2; vnt.; 
794868; A0079901301; 2; vnt.; 
835921; N000000007630; 1; vnt.; 
871047; N000000007028; 4; vnt.; 
919776; 21-02-00-0814; 1; vnt.; 
936102; TEGL5FUCHS; 10; l.; 
937016; 10443; 1; vnt.; 
937243; 35331; 1; vnt.; 
947986; 070.670-00A; 1; vnt.; 
950057; A0059906104; 5; vnt.; 
950399; 35331; 1; vnt.; 
953877; C22S1000; 1; vnt.; 
954725; 4455; 1; vnt.; 
954726; 8009; 1; vnt.; 
954727; A0059906104; 1; vnt.; 
954804; A0149974346; 1; vnt.; 
954812; 8008; 1; vnt.; 
954895; A3523530073; 2; vnt.; 
954903; 60171616; 1; vnt.; 
955162; 08-03-99-0050; 2; vnt.; 
955167; N910105014004; 4; vnt.; 
955171; 51245; 1; vnt.; 
955179; 405477; 3; vnt.; 
955218; 125468; 2; vnt.; 
955290; 6491; 4; vnt.; 
955313; 2530000; 1; vnt.; 
955314; N308765024014; 1; vnt.; 
955484; 4516; 1; vnt.; 
955537; 26351240; 18; vnt.; 
955582; 7498; 1; vnt.; 
955583; VIELKAI; 1; vnt.; 
956311; RE956311; 1; vnt.; 
956482; 303305; 2; vnt.; 
956597; 303305; 1; vnt.; 
956618; SUN1; 9; l.; 
956619; TEGL5FUCHS; 12; l.; 
957267; A6563340115; 1; vnt.; 
958512; A6563340115; 1; vnt.; 

Sakatoje AKU-1821998 rastas komplektas: 076.176-10A, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
898044; A0034307381; 1; vnt.; 
898950; A9704900565; 1; vnt.; 
913346; LX 3480KIT ; 1; vnt.; 
914718; A0018214660; 1; vnt.; 
921146; 11-01-00-0649; 1; vnt.; 
923014; A9061800109; 1; vnt.; 
932749; L64196; 1; vnt.; 
933403; A0000901551; 1; vnt.; 
943622; 13-05-01-0981; 1; vnt.; 
947403; 076.244-00A; 1; vnt.; Analogas detalei 16350
947464; LA85; 1; vnt.; 
947466; 4329012232; 1; vnt.; 
947814; KNIEDE; 2; vnt.; 
947959; TE10W40MOBILPS; 17; l.; 

Sakatoje AKU-1822253 rastas komplektas: A97026818975C38, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
7857; L6411; 1; vnt.; 
904241; A0005446411; 1; vnt.; 
923036; A9702681997; 1; vnt.; Komplekto detale.
939879; A3183200073; 2; vnt.; 
940612; 31235; 1; vnt.; 
945462; L7511; 1; vnt.; 
949643; A9703231285; 2; vnt.; 
949681; 336815; 6; vnt.; 
949716; 12092; 4; vnt.; 
949717; 336815; 2; vnt.; 
949718; L7511; 1; vnt.; 
949719; 2845TSP; 2; vnt.; 
949720; L5627; 1; vnt.; 
949721; L7510LTS; 2; vnt.; 

Sakatoje AKU-1823150 rastas komplektas: 05-01-00-1140, kiekis 1 vnt. Saskaitos komplektiskumas: 0.928571428571429.
Kitos saskaitoje esancios detales:
943439; A0002540017; 1; vnt.; Komplekto detale.
947344; 1470; 1; vnt.; 
956507; 22751; 1; vnt.; Komplekto detale.
956508; A0002540017; 1; vnt.; Komplekto detale.
956567; A0259975047; 1; vnt.; Komplekto detale.

Sakatoje AKU-1822631 rastas komplektas: A541050210180REST, kiekis 1 vnt. Saskaitos komplektiskumas: 0.833333333333333.
Kitos saskaitoje esancios detales:
765857; 37922; 1; vnt.; 
877235; 00526N0; 4; kompl.; 
903834; A0041534228; 1; vnt.; 
907767; 45171; 1; vnt.; 
917183; A9425281282; 1; vnt.; 
925278; 7719; 1; vnt.; 
926517; A5410140822; 1; vnt.; 
927651; A0249972848; 2; vnt.; Komplekto detale.
927800; 00526N0; 1; kompl.; 
929684; 14-02-01-0023; 1; vnt.; 
931960; A0239976448; 6; vnt.; Komplekto detale.
